,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,song_name,artist,genre
7027,0.752,0.861,11,-0.384,0,0.0819,0.169,0,0.234,0.764,114.968,audio_features,54HsCR7lJJdwxmEnTY1JfF,spotify:track:54HsCR7lJJdwxmEnTY1JfF,https://api.spotify.com/v1/tracks/54HsCR7lJJdwxmEnTY1JfF,https://api.spotify.com/v1/audio-analysis/54HsCR7lJJdwxmEnTY1JfF,220560,4,Dun Dun Dance,OH MY GIRL,popular
7028,0.758,0.759,1,-3.227,1,0.0861,0.00549,0,0.381,0.589,147.019,audio_features,6Y5EExUlWAbDNqJDNTHqVZ,spotify:track:6Y5EExUlWAbDNqJDNTHqVZ,https://api.spotify.com/v1/tracks/6Y5EExUlWAbDNqJDNTHqVZ,https://api.spotify.com/v1/audio-analysis/6Y5EExUlWAbDNqJDNTHqVZ,218613,3,ASURABALBALTA,T1419,popular
7029,0.628,0.718,0,-4.668,0,0.152,0.0825,0.000507,0.0948,0.711,140.057,audio_features,2QdH0rKlV3d9Y6lWzcnlBH,spotify:track:2QdH0rKlV3d9Y6lWzcnlBH,https://api.spotify.com/v1/tracks/2QdH0rKlV3d9Y6lWzcnlBH,https://api.spotify.com/v1/audio-analysis/2QdH0rKlV3d9Y6lWzcnlBH,172359,4,In the morning,ITZY,popular
7030,0.647,0.957,1,-4.862,1,0.0689,0.309,0,0.378,0.355,129.957,audio_features,6Fz2TpxUD0YvAPsuG8nDMJ,spotify:track:6Fz2TpxUD0YvAPsuG8nDMJ,https://api.spotify.com/v1/tracks/6Fz2TpxUD0YvAPsuG8nDMJ,https://api.spotify.com/v1/audio-analysis/6Fz2TpxUD0YvAPsuG8nDMJ,275420,4,MAPA,SB19,popular
7031,0.61,0.941,0,-4.629,1,0.0574,0.17,0,0.444,0.359,130.06,audio_features,34U33Fr2hM6wWkjvdpiwS6,spotify:track:34U33Fr2hM6wWkjvdpiwS6,https://api.spotify.com/v1/tracks/34U33Fr2hM6wWkjvdpiwS6,https://api.spotify.com/v1/audio-analysis/34U33Fr2hM6wWkjvdpiwS6,218840,4,Antidote,KANG DANIEL,popular
7032,0.847,0.814,11,-5.606,0,0.0338,0.339,0,0.129,0.384,100.995,audio_features,3Y4SnP9NDIjEj69mMY4NVp,spotify:track:3Y4SnP9NDIjEj69mMY4NVp,https://api.spotify.com/v1/tracks/3Y4SnP9NDIjEj69mMY4NVp,https://api.spotify.com/v1/audio-analysis/3Y4SnP9NDIjEj69mMY4NVp,218984,4,You make Me,DAY6,popular
7033,0.561,0.651,9,-3.864,1,0.0487,0.0456,4.33E-05,0.085,0.897,125.073,audio_features,5IRZTfGNLLVvGwYoirCkH7,spotify:track:5IRZTfGNLLVvGwYoirCkH7,https://api.spotify.com/v1/tracks/5IRZTfGNLLVvGwYoirCkH7,https://api.spotify.com/v1/audio-analysis/5IRZTfGNLLVvGwYoirCkH7,190560,4,Beautiful Beautiful,ONF,popular
7034,0.713,0.685,5,-5.853,1,0.0432,0.225,0,0.0986,0.369,159.838,audio_features,1NXZyqdvqt6pXe9XPaOfp1,spotify:track:1NXZyqdvqt6pXe9XPaOfp1,https://api.spotify.com/v1/tracks/1NXZyqdvqt6pXe9XPaOfp1,https://api.spotify.com/v1/audio-analysis/1NXZyqdvqt6pXe9XPaOfp1,221639,3,Trust Me (MIDZY),ITZY,popular
7035,0.646,0.617,6,-2.846,1,0.0289,0.0198,0,0.708,0.504,104.936,audio_features,4Bmk7JYOquhWmSMMW4WebM,spotify:track:4Bmk7JYOquhWmSMMW4WebM,https://api.spotify.com/v1/tracks/4Bmk7JYOquhWmSMMW4WebM,https://api.spotify.com/v1/audio-analysis/4Bmk7JYOquhWmSMMW4WebM,195836,4,NUNU NANA,Jessi,popular
7036,0.75,0.947,5,-3.042,0,0.0363,0.0513,0,0.259,0.558,97.03,audio_features,1Q6lzzQHM5dvtTCwcfeKDy,spotify:track:1Q6lzzQHM5dvtTCwcfeKDy,https://api.spotify.com/v1/tracks/1Q6lzzQHM5dvtTCwcfeKDy,https://api.spotify.com/v1/audio-analysis/1Q6lzzQHM5dvtTCwcfeKDy,195333,4,PARANOIA,KANG DANIEL,popular
